,pretty_name,url_repository,original_file_name,new_name,raw_file_size,url_description
13,Concrete Slump Test,https://archive.ics.uci.edu/ml/machine-learning-databases/concrete/slump/,slump_test.data,Concrete Slump Testslump_test.data,4758.0,https://archive.ics.uci.edu/ml/datasets/Concrete+Slump+Test
14,Lymphography,https://archive.ics.uci.edu/ml/machine-learning-databases/lymphography/,lymphography.data,Lymphographylymphography.data,5624.0,https://archive.ics.uci.edu/ml/datasets/Lymphography
15,Echocardiogram,https://archive.ics.uci.edu/ml/machine-learning-databases/echocardiogram/,echocardiogram.data,Echocardiogramechocardiogram.data,6107.0,https://archive.ics.uci.edu/ml/datasets/Echocardiogram
16,Balance Scale,https://archive.ics.uci.edu/ml/machine-learning-databases/balance-scale/,balance-scale.data,Balance Scalebalance-scale.data,6250.0,https://archive.ics.uci.edu/ml/datasets/Balance+Scale
17,Labor Relations,https://archive.ics.uci.edu/ml/machine-learning-databases/labor-negotiations/,labor-negotiations.data,Labor Relationslabor-negotiations.data,6507.0,https://archive.ics.uci.edu/ml/datasets/Labor+Relations
18,Acute Inflammations,https://archive.ics.uci.edu/ml/machine-learning-databases/acute/,diagnosis.data,Acute Inflammationsdiagnosis.data,7276.0,https://archive.ics.uci.edu/ml/datasets/Acute+Inflammations
19,Liver Disorders,https://archive.ics.uci.edu/ml/machine-learning-databases/liver-disorders/,bupa.data,Liver Disordersbupa.data,7297.0,https://archive.ics.uci.edu/ml/datasets/Liver+Disorders
20,Hepatitis,https://archive.ics.uci.edu/ml/machine-learning-databases/hepatitis/,hepatitis.data,Hepatitishepatitis.data,7545.0,https://archive.ics.uci.edu/ml/datasets/Hepatitis
21,BuddyMove Data Set,https://archive.ics.uci.edu/ml/machine-learning-databases/00476/,buddymove_holidayiq.csv,BuddyMove Data Setbuddymove_holidayiq.csv,7566.0,https://archive.ics.uci.edu/ml/datasets/BuddyMove+Data+Set
22,Breast Cancer Coimbra,https://archive.ics.uci.edu/ml/machine-learning-databases/00451/,dataR2.csv,Breast Cancer CoimbradataR2.csv,7665.0,https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Coimbra
23,Computer Hardware,https://archive.ics.uci.edu/ml/machine-learning-databases/cpu-performance/,machine.data,Computer Hardwaremachine.data,8726.0,https://archive.ics.uci.edu/ml/datasets/Computer+Hardware
24,Wine,https://archive.ics.uci.edu/ml/machine-learning-databases/wine/,wine.data,Winewine.data,10782.0,https://archive.ics.uci.edu/ml/datasets/Wine
25,Amphibians,https://archive.ics.uci.edu/ml/machine-learning-databases/00528/,dataset.csv,Amphibiansdataset.csv,10846.0,https://archive.ics.uci.edu/ml/datasets/Amphibians
26,Yacht Hydrodynamics,https://archive.ics.uci.edu/ml/machine-learning-databases/00243/,yacht_hydrodynamics.data,Yacht Hydrodynamicsyacht_hydrodynamics.data,11487.0,https://archive.ics.uci.edu/ml/datasets/Yacht+Hydrodynamics
27,Glass Identification,https://archive.ics.uci.edu/ml/machine-learning-databases/glass/,glass.data,Glass Identificationglass.data,11903.0,https://archive.ics.uci.edu/ml/datasets/Glass+Identification
28,Heart failure clinical records,https://archive.ics.uci.edu/ml/machine-learning-databases/00519/,heart_failure_clinical_records_dataset.csv,Heart failure clinical recordsheart_failure_clinical_records_dataset.csv,12239.0,https://archive.ics.uci.edu/ml/datasets/Heart+failure+clinical+records
29,Primary Tumor,https://archive.ics.uci.edu/ml/machine-learning-databases/primary-tumor/,primary-tumor.data,Primary Tumorprimary-tumor.data,12356.0,https://archive.ics.uci.edu/ml/datasets/Primary+Tumor
30,Blood Transfusion Service Center,https://archive.ics.uci.edu/ml/machine-learning-databases/blood-transfusion/,transfusion.data,Blood Transfusion Service Centertransfusion.data,12843.0,https://archive.ics.uci.edu/ml/datasets/Blood+Transfusion+Service+Center
31,Mammographic Mass,https://archive.ics.uci.edu/ml/machine-learning-databases/mammographic-masses/,mammographic_masses.data,Mammographic Massmammographic_masses.data,13450.0,https://archive.ics.uci.edu/ml/datasets/Mammographic+Mass
32,Exasens,https://archive.ics.uci.edu/ml/machine-learning-databases/00523/,Exasens.csv,ExasensExasens.csv,14051.0,https://archive.ics.uci.edu/ml/datasets/Exasens
33,Algerian Forest Fires Dataset Bejaia,https://archive.ics.uci.edu/ml/machine-learning-databases/00547/,Algerian_forest_fires_dataset_UPDATE.csv,Algerian Forest Fires Dataset BejaiaAlgerian_forest_fires_dataset_UPDATE.csv,14759.0,https://archive.ics.uci.edu/ml/datasets/Algerian+Forest+Fires+Dataset++
34,Algerian Forest Fires Dataset Sidi-Bel Abbes,https://archive.ics.uci.edu/ml/machine-learning-databases/00547/,Algerian_forest_fires_dataset_UPDATE.csv,Algerian Forest Fires Dataset Sidi-Bel AbbesAlgerian_forest_fires_dataset_UPDATE.csv,14759.0, https://archive.ics.uci.edu/ml/datasets/Algerian+Forest+Fires+Dataset++
35,Wholesale customers,https://archive.ics.uci.edu/ml/machine-learning-databases/00292/,Wholesale%20customers%20data.csv,Wholesale customersWholesale%20customers%20data.csv,15021.0,https://archive.ics.uci.edu/ml/datasets/Wholesale+customers
36,Flags,https://archive.ics.uci.edu/ml/machine-learning-databases/flags/,flag.data,Flagsflag.data,15240.0,https://archive.ics.uci.edu/ml/datasets/Flags
37,Congressional Voting Records,https://archive.ics.uci.edu/ml/machine-learning-databases/voting-records/,house-votes-84.data,Congressional Voting Recordshouse-votes-84.data,18171.0,https://archive.ics.uci.edu/ml/datasets/Congressional+Voting+Records
38,Breast Cancer,https://archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer/,breast-cancer.data,Breast Cancerbreast-cancer.data,18654.0,https://archive.ics.uci.edu/ml/datasets/Breast+Cancer
39,Ecoli,https://archive.ics.uci.edu/ml/machine-learning-databases/ecoli/,ecoli.data,Ecoliecoli.data,19488.0,https://archive.ics.uci.edu/ml/datasets/Ecoli
40,QSAR aquatic toxicity,https://archive.ics.uci.edu/ml/machine-learning-databases/00505/,qsar_aquatic_toxicity.csv,QSAR aquatic toxicityqsar_aquatic_toxicity.csv,22903.0,https://archive.ics.uci.edu/ml/datasets/QSAR+aquatic+toxicity
41,ILPD (Indian Liver Patient Dataset),https://archive.ics.uci.edu/ml/machine-learning-databases/00225/,Indian%20Liver%20Patient%20Dataset%20(ILPD).csv,ILPD (Indian Liver Patient Dataset)Indian%20Liver%20Patient%20Dataset%20(ILPD).csv,23755.0,https://archive.ics.uci.edu/ml/datasets/ILPD+%28Indian+Liver+Patient+Dataset%29
42,Horse Colic,https://archive.ics.uci.edu/ml/machine-learning-databases/horse-colic/,horse-colic.data,Horse Colichorse-colic.data,25437.0,https://archive.ics.uci.edu/ml/datasets/Horse+Colic
43,Forest Fires,https://archive.ics.uci.edu/ml/machine-learning-databases/forest-fires/,forestfires.csv,Forest Firesforestfires.csv,25478.0,https://archive.ics.uci.edu/ml/datasets/Forest+Fires
44,Tic-Tac-Toe Endgame,https://archive.ics.uci.edu/ml/machine-learning-databases/tic-tac-toe/,tic-tac-toe.data,Tic-Tac-Toe Endgametic-tac-toe.data,25866.0,https://archive.ics.uci.edu/ml/datasets/Tic-Tac-Toe+Endgame
45,Automobile,https://archive.ics.uci.edu/ml/machine-learning-databases/autos/,imports-85.data,Automobileimports-85.data,25936.0,https://archive.ics.uci.edu/ml/datasets/Automobile
46,Dermatology,https://archive.ics.uci.edu/ml/machine-learning-databases/dermatology/,dermatology.data,Dermatologydermatology.data,25964.0,https://archive.ics.uci.edu/ml/datasets/Dermatology
47,Auto MPG,https://archive.ics.uci.edu/ml/machine-learning-databases/auto-mpg/,auto-mpg.data,Auto MPGauto-mpg.data,30286.0,https://archive.ics.uci.edu/ml/datasets/Auto+MPG
48,Contraceptive Method Choice,https://archive.ics.uci.edu/ml/machine-learning-databases/cmc/,cmc.data,Contraceptive Method Choicecmc.data,30962.0,https://archive.ics.uci.edu/ml/datasets/Contraceptive+Method+Choice
49,QSAR fish toxicity,https://archive.ics.uci.edu/ml/machine-learning-databases/00504/,qsar_fish_toxicity.csv,QSAR fish toxicityqsar_fish_toxicity.csv,31204.0,https://archive.ics.uci.edu/ml/datasets/QSAR+fish+toxicity
50,Credit Approval,https://archive.ics.uci.edu/ml/machine-learning-databases/credit-screening/,crx.data,Credit Approvalcrx.data,32218.0,https://archive.ics.uci.edu/ml/datasets/Credit+Approval
51,Japanese Credit Screening,https://archive.ics.uci.edu/ml/machine-learning-databases/credit-screening/,crx.data,Japanese Credit Screeningcrx.data,32218.0,https://archive.ics.uci.edu/ml/datasets/Japanese+Credit+Screening
52,Early stage diabetes risk prediction dataset.,https://archive.ics.uci.edu/ml/machine-learning-databases/00529/,diabetes_data_upload.csv,Early stage diabetes risk prediction dataset.diabetes_data_upload.csv,34682.0,https://archive.ics.uci.edu/ml/datasets/Early+stage+diabetes+risk+prediction+dataset.
53,Image Segmentation,https://archive.ics.uci.edu/ml/machine-learning-databases/image/,segmentation.data,Image Segmentationsegmentation.data,34842.0,https://archive.ics.uci.edu/ml/datasets/Image+Segmentation
54,Sponge,https://archive.ics.uci.edu/ml/machine-learning-databases/sponge/,sponge.data,Spongesponge.data,36378.0,https://archive.ics.uci.edu/ml/datasets/Sponge
55,Parkinsons,https://archive.ics.uci.edu/ml/machine-learning-databases/parkinsons/,parkinsons.data,Parkinsonsparkinsons.data,40697.0,https://archive.ics.uci.edu/ml/datasets/Parkinsons
56,HCV data,https://archive.ics.uci.edu/ml/machine-learning-databases/00571/,hcvdat0.csv,HCV datahcvdat0.csv,46183.0,https://archive.ics.uci.edu/ml/datasets/HCV+data
57,Car Evaluation,https://archive.ics.uci.edu/ml/machine-learning-databases/car/,car.data,Car Evaluationcar.data,51867.0,https://archive.ics.uci.edu/ml/datasets/Car+Evaluation
58,Optical Interconnection Network ,https://archive.ics.uci.edu/ml/machine-learning-databases/00449/,optical_interconnection_network.csv,Optical Interconnection Network optical_interconnection_network.csv,52644.0,https://archive.ics.uci.edu/ml/datasets/Optical+Interconnection+Network+
59,Travel Reviews,https://archive.ics.uci.edu/ml/machine-learning-databases/00484/,tripadvisor_review.csv,Travel Reviewstripadvisor_review.csv,57307.0,https://archive.ics.uci.edu/ml/datasets/Travel+Reviews
60,QSAR Bioconcentration classes dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00510/,Grisoni_et_al_2016_EnvInt88.csv,QSAR Bioconcentration classes datasetGrisoni_et_al_2016_EnvInt88.csv,66499.0,https://archive.ics.uci.edu/ml/datasets/QSAR+Bioconcentration+classes+dataset
61,Meta-data,https://archive.ics.uci.edu/ml/machine-learning-databases/meta-data/,meta.data,Meta-datameta.data,68499.0,https://archive.ics.uci.edu/ml/datasets/Meta-data
62,Ionosphere,https://archive.ics.uci.edu/ml/machine-learning-databases/ionosphere/,ionosphere.data,Ionosphereionosphere.data,76467.0,https://archive.ics.uci.edu/ml/datasets/Ionosphere
63,Statlog (German Credit Data),https://archive.ics.uci.edu/ml/machine-learning-databases/statlog/german/,german.data,Statlog (German Credit Data)german.data,79793.0,https://archive.ics.uci.edu/ml/datasets/Statlog+%28German+Credit+Data%29
64,Annealing,https://archive.ics.uci.edu/ml/machine-learning-databases/annealing/,anneal.data,Annealinganneal.data,80342.0,https://archive.ics.uci.edu/ml/datasets/Annealing
65,Water Treatment Plant,https://archive.ics.uci.edu/ml/machine-learning-databases/water-treatment/,water-treatment.data,Water Treatment Plantwater-treatment.data,92549.0,https://archive.ics.uci.edu/ml/datasets/Water+Treatment+Plant
66,Yeast,https://archive.ics.uci.edu/ml/machine-learning-databases/yeast/,yeast.data,Yeastyeast.data,94976.0,https://archive.ics.uci.edu/ml/datasets/Yeast
67,wiki4HE,https://archive.ics.uci.edu/ml/machine-learning-databases/00334/,wiki4HE.csv,wiki4HEwiki4HE.csv,99358.0,https://archive.ics.uci.edu/ml/datasets/wiki4HE
68,Cervical cancer (Risk Factors),https://archive.ics.uci.edu/ml/machine-learning-databases/00383/,risk_factors_cervical_cancer.csv,Cervical cancer (Risk Factors)risk_factors_cervical_cancer.csv,102059.0,https://archive.ics.uci.edu/ml/datasets/Cervical+cancer+%28Risk+Factors%29
69,Cylinder Bands,https://archive.ics.uci.edu/ml/machine-learning-databases/cylinder-bands/,bands.data,Cylinder Bandsbands.data,103300.0,https://archive.ics.uci.edu/ml/datasets/Cylinder+Bands
70,Parkinson Dataset with replicated acoustic features ,https://archive.ics.uci.edu/ml/machine-learning-databases/00489/,ReplicatedAcousticFeatures-ParkinsonDatabase.csv,Parkinson Dataset with replicated acoustic features ReplicatedAcousticFeatures-ParkinsonDatabase.csv,123627.0,https://archive.ics.uci.edu/ml/datasets/Parkinson+Dataset+with+replicated+acoustic+features+
71,QSAR biodegradation,https://archive.ics.uci.edu/ml/machine-learning-databases/00254/,biodeg.csv,QSAR biodegradationbiodeg.csv,155987.0,https://archive.ics.uci.edu/ml/datasets/QSAR+biodegradation
72,University,https://archive.ics.uci.edu/ml/machine-learning-databases/university/,university.data,Universityuniversity.data,160443.0,https://archive.ics.uci.edu/ml/datasets/University
73,Abalone,https://archive.ics.uci.edu/ml/machine-learning-databases/abalone/,abalone.data,Abaloneabalone.data,191873.0,https://archive.ics.uci.edu/ml/datasets/Abalone
74,Cloud,https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/taylor/,cloud.data,Cloudcloud.data,209266.0,https://archive.ics.uci.edu/ml/datasets/Cloud
75,Chess (King-Rook vs. King-Pawn),https://archive.ics.uci.edu/ml/machine-learning-databases/chess/king-rook-vs-king-pawn/,kr-vs-kp.data,Chess (King-Rook vs. King-Pawn)kr-vs-kp.data,245952.0,https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Pawn%29
76,Abscisic Acid Signaling Network,https://archive.ics.uci.edu/ml/machine-learning-databases/abscisic-acid/,plantCellSignaling.data,Abscisic Acid Signaling NetworkplantCellSignaling.data,253274.0,https://archive.ics.uci.edu/ml/datasets/Abscisic+Acid+Signaling+Network
77,Sales_Transactions_Dataset_Weekly,https://archive.ics.uci.edu/ml/machine-learning-databases/00396/,Sales_Transactions_Dataset_Weekly.csv,Sales_Transactions_Dataset_WeeklySales_Transactions_Dataset_Weekly.csv,317399.0,https://archive.ics.uci.edu/ml/datasets/Sales_Transactions_Dataset_Weekly
78,Drug consumption (quantified),https://archive.ics.uci.edu/ml/machine-learning-databases/00373/,drug_consumption.data,Drug consumption (quantified)drug_consumption.data,346695.0,https://archive.ics.uci.edu/ml/datasets/Drug+consumption+%28quantified%29
80,Mushroom,https://archive.ics.uci.edu/ml/machine-learning-databases/mushroom/,agaricus-lepiota.data,Mushroomagaricus-lepiota.data,373704.0,https://archive.ics.uci.edu/ml/datasets/Mushroom
81,Arrhythmia,https://archive.ics.uci.edu/ml/machine-learning-databases/arrhythmia/,arrhythmia.data,Arrhythmiaarrhythmia.data,402355.0,https://archive.ics.uci.edu/ml/datasets/Arrhythmia
82,SkillCraft1 Master Table Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00272/,SkillCraft1_Dataset.csv,SkillCraft1 Master Table DatasetSkillCraft1_Dataset.csv,500259.0,https://archive.ics.uci.edu/ml/datasets/SkillCraft1+Master+Table+Dataset
83,Low Resolution Spectrometer,https://archive.ics.uci.edu/ml/machine-learning-databases/spectrometer/,lrs.data,Low Resolution Spectrometerlrs.data,505734.0,https://archive.ics.uci.edu/ml/datasets/Low+Resolution+Spectrometer
84,Chess (King-Rook vs. King),https://archive.ics.uci.edu/ml/machine-learning-databases/chess/king-rook-vs-king/,krkopt.data,Chess (King-Rook vs. King)krkopt.data,531806.0,https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King%29
85,Connectionist Bench (Nettalk Corpus),https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/connectionist-bench/nettalk/,nettalk.data,Connectionist Bench (Nettalk Corpus)nettalk.data,541269.0,https://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Nettalk+Corpus%29
86,Shill Bidding Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00562/,Shill%20Bidding%20Dataset.csv,Shill Bidding DatasetShill%20Bidding%20Dataset.csv,550270.0,https://archive.ics.uci.edu/ml/datasets/Shill+Bidding+Dataset
87,Seoul Bike Sharing Demand,https://archive.ics.uci.edu/ml/machine-learning-databases/00560/,SeoulBikeData.csv,Seoul Bike Sharing DemandSeoulBikeData.csv,604166.0,https://archive.ics.uci.edu/ml/datasets/Seoul+Bike+Sharing+Demand
88,Tarvel Review Ratings,https://archive.ics.uci.edu/ml/machine-learning-databases/00485/,google_review_ratings.csv,Tarvel Review Ratingsgoogle_review_ratings.csv,637001.0,https://archive.ics.uci.edu/ml/datasets/Tarvel+Review+Ratings
89,Spambase,https://archive.ics.uci.edu/ml/machine-learning-databases/spambase/,spambase.data,Spambasespambase.data,702942.0,https://archive.ics.uci.edu/ml/datasets/Spambase
90,Letter Recognition,https://archive.ics.uci.edu/ml/machine-learning-databases/letter-recognition/,letter-recognition.data,Letter Recognitionletter-recognition.data,712565.0,https://archive.ics.uci.edu/ml/datasets/Letter+Recognition
91,Parkinsons Telemonitoring,https://archive.ics.uci.edu/ml/machine-learning-databases/parkinsons/telemonitoring/,parkinsons_updrs.data,Parkinsons Telemonitoringparkinsons_updrs.data,911261.0,https://archive.ics.uci.edu/ml/datasets/Parkinsons+Telemonitoring
92,Nursery,https://archive.ics.uci.edu/ml/machine-learning-databases/nursery/,nursery.data,Nurserynursery.data,1059371.0,https://archive.ics.uci.edu/ml/datasets/Nursery
93,Online Shoppers Purchasing Intention Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00468/,online_shoppers_intention.csv,Online Shoppers Purchasing Intention Datasetonline_shoppers_intention.csv,1072063.0,https://archive.ics.uci.edu/ml/datasets/Online+Shoppers+Purchasing+Intention+Dataset
94,Communities and Crime,https://archive.ics.uci.edu/ml/machine-learning-databases/communities/,communities.data,Communities and Crimecommunities.data,1102815.0,https://archive.ics.uci.edu/ml/datasets/Communities+and+Crime
95,Cargo 2000 Freight Tracking and Tracing,https://archive.ics.uci.edu/ml/machine-learning-databases/00382/,c2k_data_comma.csv,Cargo 2000 Freight Tracking and Tracingc2k_data_comma.csv,1145229.0,https://archive.ics.uci.edu/ml/datasets/Cargo+2000+Freight+Tracking+and+Tracing
96,MAGIC Gamma Telescope,https://archive.ics.uci.edu/ml/machine-learning-databases/magic/,magic04.data,MAGIC Gamma Telescopemagic04.data,1477391.0,https://archive.ics.uci.edu/ml/datasets/MAGIC+Gamma+Telescope
97,Bias correction of numerical prediction model temperature forecast,https://archive.ics.uci.edu/ml/machine-learning-databases/00514/,Bias_correction_ucl.csv,Bias correction of numerical prediction model temperature forecastBias_correction_ucl.csv,1658519.0,https://archive.ics.uci.edu/ml/datasets/Bias+correction+of+numerical+prediction+model+temperature+forecast
98,Weight Lifting Exercises monitored with Inertial Measurement Units,https://archive.ics.uci.edu/ml/machine-learning-databases/00273/,Example_WearableComputing_weight_lifting_exercises_biceps_curl_variations.csv,Weight Lifting Exercises monitored with Inertial Measurement UnitsExample_WearableComputing_weight_lifting_exercises_biceps_curl_variations.csv,1667720.0,https://archive.ics.uci.edu/ml/datasets/Weight+Lifting+Exercises+monitored+with+Inertial+Measurement+Units
99,Plants,https://archive.ics.uci.edu/ml/machine-learning-databases/plants/,plants.data,Plantsplants.data,1690800.0,https://archive.ics.uci.edu/ml/datasets/Plants
100,CNAE-9,https://archive.ics.uci.edu/ml/machine-learning-databases/00233/,CNAE-9.data,CNAE-9CNAE-9.data,1851120.0,https://archive.ics.uci.edu/ml/datasets/CNAE-9
101,Beijing PM2.5 Data,https://archive.ics.uci.edu/ml/machine-learning-databases/00381/,PRSA_data_2010.1.1-2014.12.31.csv,Beijing PM2.5 DataPRSA_data_2010.1.1-2014.12.31.csv,2010494.0,https://archive.ics.uci.edu/ml/datasets/Beijing+PM2.5+Data
102,Electrical Grid Stability Simulated Data ,https://archive.ics.uci.edu/ml/machine-learning-databases/00471/,Data_for_UCI_named.csv,Electrical Grid Stability Simulated Data Data_for_UCI_named.csv,2417871.0,https://archive.ics.uci.edu/ml/datasets/Electrical+Grid+Stability+Simulated+Data+
103,Internet Firewall Data,https://archive.ics.uci.edu/ml/machine-learning-databases/00542/,log2.csv,Internet Firewall Datalog2.csv,2876998.0,https://archive.ics.uci.edu/ml/datasets/Internet+Firewall+Data
104,Semeion Handwritten Digit,https://archive.ics.uci.edu/ml/machine-learning-databases/semeion/,semeion.data,Semeion Handwritten Digitsemeion.data,2889702.0,https://archive.ics.uci.edu/ml/datasets/Semeion+Handwritten+Digit
105,Physicochemical Properties of Protein Tertiary Structure,https://archive.ics.uci.edu/ml/machine-learning-databases/00265/,CASP.csv,Physicochemical Properties of Protein Tertiary StructureCASP.csv,3528710.0,https://archive.ics.uci.edu/ml/datasets/Physicochemical+Properties+of+Protein+Tertiary+Structure
106,Adult,https://archive.ics.uci.edu/ml/machine-learning-databases/adult/,adult.data,Adultadult.data,3974305.0,https://archive.ics.uci.edu/ml/datasets/Adult
107,Census Income,https://archive.ics.uci.edu/ml/machine-learning-databases/adult/,adult.data,Census Incomeadult.data,3974305.0,https://archive.ics.uci.edu/ml/datasets/Census+Income
108,KEGG Metabolic Relation Network (Directed),https://archive.ics.uci.edu/ml/machine-learning-databases/00220/,Relation%20Network%20(Directed).data,KEGG Metabolic Relation Network (Directed)Relation%20Network%20(Directed).data,7342910.0,https://archive.ics.uci.edu/ml/datasets/KEGG+Metabolic+Relation+Network+%28Directed%29
109,Internet Advertisements,https://archive.ics.uci.edu/ml/machine-learning-databases/internet_ads/,ad.data,Internet Advertisementsad.data,10275015.0,https://archive.ics.uci.edu/ml/datasets/Internet+Advertisements
110,KEGG Metabolic Reaction Network (Undirected),https://archive.ics.uci.edu/ml/machine-learning-databases/00221/,Reaction%20Network%20(Undirected).data,KEGG Metabolic Reaction Network (Undirected)Reaction%20Network%20(Undirected).data,11814148.0,https://archive.ics.uci.edu/ml/datasets/KEGG+Metabolic+Reaction+Network+%28Undirected%29
111,Appliances energy prediction,https://archive.ics.uci.edu/ml/machine-learning-databases/00374/,energydata_complete.csv,Appliances energy predictionenergydata_complete.csv,11979363.0,https://archive.ics.uci.edu/ml/datasets/Appliances+energy+prediction
112,MoCap Hand Postures,https://archive.ics.uci.edu/ml/machine-learning-databases/00391/,allUsers.lcl.csv,MoCap Hand PosturesallUsers.lcl.csv,33961749.0,https://archive.ics.uci.edu/ml/datasets/MoCap+Hand+Postures
